,date,energu(MU)
0,2019-03-01,19.67
1,2020-03-01,14.77
2,2019-04-01,17.85
3,2020-04-01,
4,2019-05-01,16.48
5,2020-05-01,
6,2019-06-01,21.14
7,2020-06-01,
8,2019-07-01,22.45
9,2020-07-01,12:00
10,2019-08-01,24.38
11,2020-08-01,XXX
12,2019-09-01,20.28
13,2019-10-01,20.15
14,2019-11-01,
15,2019-12-01,8.95
16,2019-01-02,22.52
17,2020-01-02,19.16
