,date,energu(MU)
0,2019-03-01,5.94
1,2020-03-01,12.5
2,2019-04-01,6.77
3,2020-04-01,5.98
4,2019-05-01,12.22
5,2020-05-01,6.01
6,2019-06-01,14.86
7,2020-06-01,5.82
8,2019-07-01,17.31
9,2020-07-01,7.42
10,2019-08-01,13.14
11,2020-08-01,XXX
12,2019-09-01,5.86
13,2019-10-01,6.18
14,2019-11-01,6.86
15,2019-12-01,6.29
16,2019-01-02,18.88
17,2020-01-02,13.1
