,date,energu(MU)
0,2019-03-01,7.1
1,2020-03-01,6.4
2,2019-04-01,7.08
3,2020-04-01,1.29
4,2019-05-01,9.44
5,2020-05-01,3.21
6,2019-06-01,9.08
7,2020-06-01,7.61
8,2019-07-01,5.05
9,2020-07-01,10.2
10,2019-08-01,12.55
11,2020-08-01,XXX
12,2019-09-01,11.1
13,2019-10-01,
14,2019-11-01,6.9
15,2019-12-01,6.6
16,2019-01-02,9.31
17,2020-01-02,11.02
