,date,energu(MU)
0,2019-03-01,23.85
1,2020-03-01,12.52
2,2019-04-01,7.25
3,2020-04-01,-
4,2019-05-01,6.2
5,2020-05-01,-
6,2019-06-01,15.82
7,2020-06-01,-
8,2019-07-01,24.8
9,2020-07-01,3.87
10,2019-08-01,13.33
11,2020-08-01,XXX
12,2019-09-01,18.86
13,2019-10-01,-
14,2019-11-01,10.24
15,2019-12-01,12.52
16,2019-01-02,19.37
17,2020-01-02,7.3
