,date,energu(MU)
0,2019-03-01,XXX
1,2020-03-01,XXX
2,2019-04-01,XXX
3,2020-04-01,XXX
4,2019-05-01,XXX
5,2020-05-01,4.85
6,2019-06-01,XXX
7,2020-06-01,
8,2019-07-01,XXX
9,2020-07-01,10.1
10,2019-08-01,XXX
11,2020-08-01,XXX
12,2019-09-01,XXX
13,2019-10-01,XXX
14,2019-11-01,XXX
15,2019-12-01,XXX
16,2019-01-02,XXX
17,2020-01-02,XXX
